PRODUCT LIST,,,,,,,
,,,,,,,
,WHEY PROTIEN SECTION,NET WEIGHT,FLAVOURES,PRICE,MRP,discount,WebUpdate
1, Optimum Nutrition (ON) 100% Gold Standard Whey Protein,2LB/ 907GM,DOUBLE RICH CHOCOLATE / VANILA ICE CREAME,"?7,194.00","?8,269.00",13%,
2,Optimum Nutrition (ON) 100% Gold Standard Whey Protein,5LB/2.27KG,DOUBLE RICH CHOCOLATE / VANILA ICE CREAME,"?3,287.00","?3,779.00",13%,
3,  Dymatize Elite 100% Whey Protein,5LB/2.27KG,RICH CHOCOLATE,"?8,399.00","?12,999.00",35%,
4,Dymatize ISO 100 Hydrolyzed Protein,5LB/2.27KG,RICH CHOCOLATE,"?13,599.00","?15,999.00",15%,
5,Labrada 100% Whey Protein,500G,CHOCOLATE/ VANILA / MOCHA,"?1,549.00","?1,799.00",14%,
6,Labrada 100% Whey Protein,1KG,CHOCOLATE/ VANILA / MOCHA,"?2,799.00","?4,199.00",33%,
7,Labrada 100% Whey Protein,1.8KG,CHOCOLATE/ VANILA / MOCHA,"?4,999.00","?8,499.00",41%,
8,Muscletech Nitro Tech Whey Protein,907GM,DOUBLE RICH CHOCOLATE / COOKIES & CREAM,"?2,999.00","?3,639.00",18%,
9,Muscletech Nitro Tech Whey Protein,1.8KG,DOUBLE RICH CHOCOLATE / COOKIES & CREAM,"?5,699.00","?6,939.00",18%,
10,GNC Pro Performance 100% Whey Protein,2LB/ 907GM,CHOCOLATE FUDGE / VANILA / CHOCOLATE,"?2,399.00","?3,099.00",23%,
11,GNC Pro Performance 100% Whey Protein,4LB/1.8KG,CHOCOLATE FUDGE / VANILA / CHOCOLATE,"?4,599.00","?5,689.00",19%,
12,GNC AMP Pure Isolate (zero carb) ,1KG,CHOCOLATE FUDGE / VANILA / CHOCOLATE,"?4,199.00","?5,339.00",21%,
13,GNC AMP Pure Isolate (zero carb) , 2KG,CHOCOLATE FUDGE / VANILA / CHOCOLATE,"?7,599.00","?9,339.00",19%,
14,GNC Select Whey Protein,1KG,CHOCOLATE,"?1,899.00","?2,499.00",24%,
15,GNC Select Whey Protein,2KG,CHOCOLATE,"?3,599.00","?4,799.00",25%,
16,BPI  Sports Whey HD,1KG,CHOCOLATE DELIGHT,"?2,999.00","?4,399.00",32%,
17,BPI  Sports Whey HD,2KG,CHOCOLATE DELIGHT,"?4,599.00","?8,499.00",46%,
18,Isopure Whey Protien powder with Vitamins,1KG,CHOCOLATE,"?4,399.00","?5,289.00",17%,
19,ISOPURE WHEY PROTIEN,2KG,CHOCOLATE,"?8,299.00","?11,649.00",29%,
WHEY PROTIEN SECTION,,,,,,,
1,Muscleblaze Biozyme Performance Whey,1KG ,"RICH CHOCOLATE/ CHOCOLATE HAZELNUT/ CHOCO CRISPE
KESAR THANDAI / MAGICAL MANGO","?2,690.00","?2,989.00",10%,u
2,Muscleblaze Biozyme Performance Whey,2kg,,"?5,048.00","?5,609.00",10%,u
3,Muscleblaze Biozyme Performance Whey Reffil Pack,1KG,- DO-,"?2,590.00","?2,989.00",13%,u
4,,,,,,#DIV/0!,
5,Muscleblaze Biozyme Iso-Zero,1KG,CHOCOLATE FUDGE / COOKIES & CREAM,"?3,969.00","?4,409.00",10%,u
6,Muscleblaze Biozyme Iso-Zero,2kg,,"?7,613.00","?8,459.00",10%,u
7,Muscleblaze Biozyme Performance Whey PR,1KG,LOW CARBS ICE CREAM CHOCOLATE / LOW CARBS COOKIES & CREAM,"?3,005.00","?3,339.00",10%,u
8,Muscleblaze Biozyme Performance Whey PR,2kg,,"?5,606.00","?6,229.00",10%,u
9,Avvatar Whey Protein ,1KG ,BELGIAN CHOCOLATE / MALAI KULFI / CHOCOLATE HAZALNUT,"?2,899.00","?4,229.00",31%,
10,Avvatar Whey Protein ,2KG,,"?5,599.00","?7,699.00",27%,
11,Avvatar 100% performance Whey,1KG ,BELGIAN CHOCOLATE / MALAI KULFI / CHOCOLATE HAZALNUT,"?2,399.00","?3,559.00",33%,
12,Avvatar 100% performance Whey,2KG,,"?4,599.00","?6,849.00",33%,
13,Avvatar Isorich Protein,1KG ,BELGIAN CHOCOLATE / MALAI KULFI / CHOCOLATE HAZALNUT,"?4,003.00","?5,469.00",27%,
14,Avvatar Isorich Protein,2KG,,"?7,829.00","?10,189.00",23%,
15,Fuel One Whey Protein Powder,1KG,CHOCOLATE,"?1,725.00","?2,299.00",25%,u
16,Fuel One Whey Protein Powder,2KG,,"?3,280.00","?4,099.00",20%,u
17,ATOM Whey Protein,1KG,DOUBLE RICH CHOCOLATE/ FRENCH VANILA,"?2,072.00","?3,047.00",32%,u
18,ATOM Whey Protein,2KG,,"?4,065.00","?5,978.00",32%,u
19,Dr. Morepen Turbo Whey Protein,1KG,BUTTER SCOTCH,"?2,504.00","?3,558.00",30%,
21,Absolute Whey Legender (Alpha Series),1KG,CHOCOLATE / CASHEW SAFFRON PISTACHIO,"?2,499.00","?3,199.00",22%,
22,Absolute Whey Legender (Alpha Series),2KG,,"?4,599.00","?6,090.00",24%,
CREATINE,,,,,,,
1,MuscleBlaze Creatine Monohydrate CreAMP,100GM,UNFLAVOURED,?489.00,?719.00,32%,
2,MuscleBlaze Creatine Monohydrate CreAMP,250GM,UNFLAVOURED,?849.00,"?1,429.00",41%,
3,MuscleBlaze Creatine Monohydrate CreAMP,120GM,CITRUS BLAST / WATER MELON KOOL AID,?489.00,?799.00,39%,
4,MuscleBlaze Creatine Monohydrate CreAMP,320GM,CITRUS BLAST / WATER MELON KOOL AID,?849.00,"?1,599.00",47%,
,,,JUICY BERRIES / CANDY RUSH,?849.00,"?1,599.00",47%,
5,Wellcore - Pure Micronised Creatine Monohydrate,100GM,UNFLAVOURED,?569.00,?699.00,19%,
6,Wellcore - Pure Micronised Creatine Monohydrate,250GM,UNFLAVOURED,"?1,139.00","?1,399.00",19%,
